order_gk,offer_id
3000579625629,300050936206
3000627306450,300052064651
3000632920686,300052408812
3000632771725,300052393030
3000583467642,300051001196
3000589281354,300051262015
3000589106142,300051250324
3000622819913,300051794962
3000630156692,300052288434
3000630781485,300052318376
3000624116192,300051885011
3000625792540,300052005723
3000583016576,300050981640
3000627256678,300052058451
3000590081638,300051309259
3000589082583,300051248478
3000594098105,300051457318
3000627132035,300052036589
3000589107013,300051251488
3000588431362,300051210435
3000578502144,300050883251
3000579351748,300050924678
3000585042728,300051101039
3000592270948,300051366543
3000598511498,300051611901
3000625041403,300051968441
3000626366198,300052028753
3000627356628,300052073316
3000632396961,300052380656
3000623816591,300051873234
3000624491446,300051920106
3000628132557,300052129033
3000584891110,300051089271
3000584091210,300051040229
3000584767836,300051082752
3000584342034,300051060773
3000592471081,300051376301
3000585766960,300051129123
3000578477357,300050880964
3000587957067,300051191029
3000617650432,300051729920
3000587131154,300051152828
3000597261185,300051574377
3000600087429,300051695489
3000583470934,300051003779
3000624240832,300051894641
3000622991406,300051810134
3000625817480,300052008072
3000623042024,300051819284
3000624291839,300051899657
3000631081389,300052325899
3000632771360,300052392654
3000623442686,300051842065
3000625791221,300052004505
3000625793259,300052006385
3000596271815,300051561508
3000627306291,300052064222
3000595046209,300051517977
3000617528799,300051724107
3000622142369,300051754086
3000622793418,300051787603
3000622315807,300051764678
3000624092570,300051883102
3000624865935,300051944918
3000624767128,300051930127
3000624466843,300051915865
3000628706553,300052176129
3000628506088,300052146430
3000629056558,300052194119
3000630557056,300052302412
3000630731346,300052314531
3000633171946,300052444407
3000630106656,300052284681
3000630107164,300052285257
3000630006994,300052278114
3000632146126,300052358660
3000632147251,300052360618
3000629982595,300052275844
3000632998635,300052423321
3000623691257,300051861864
3000624916431,300051952708
3000596396461,300051565170
3000599861729,300051680999
3000599911153,300051683443
3000623040934,300051817620
3000622815664,300051788868
3000623116489,300051826518
3000623167026,300051831717
3000624765783,300051928028
3000625542517,300051989320
3000627232212,300052055574
3000627307365,300052066725
3000628457350,300052142647
3000593447932,300051420740
3000632822901,300052401546
3000589106084,300051250244
3000588731503,300051234835
3000588480862,300051217601
3000592095598,300051355164
3000592322307,300051369875
3000594046672,300051450436
3000552971401,300050613340
3000555270495,300050708654
3000629332007,300052226205
3000630355741,300052290999
3000622366932,300051769047
3000631155824,300052330921
3000629107642,300052201395
3000630006931,300052277995
3000582915748,300050976641
3000555621464,300050720791
3000623166284,300051830424
3000627158233,300052046418
3000623067671,300051824197
3000624640695,300051922979
3000555521908,300050716445
3000624317749,300051902808
3000624316705,300051901472
3000625166331,300051976559
3000631257337,300052340959
3000598661158,300051621418
3000553071002,300050617911
3000586441140,300051149355
3000554996824,300050697809
3000622441819,300051773936
3000594771494,300051497268
3000578400528,300050875428
3000582792387,300050968842
3000595446885,300051531603
3000584092777,300051041953
3000589881534,300051295233
3000622792107,300051785561
3000617577984,300051729495
3000583667001,300051021216
3000584116295,300051043309
3000579600994,300050935871
3000577427174,300050828152
3000587356986,300051167506
3000593647420,300051433161
3000554471543,300050675072
3000624766326,300051929021
3000632148462,300052362144
3000622815685,300051789091
3000629933159,300052270452
3000622793529,300051788164
3000624966909,300051959119
3000622817440,300051791611
